id_canal,st_titulo,dh_inicio,dh_fim,id_programa,titulo
483,law_order_svu,2018-08-09T00:50Z,2018-08-09T01:45Z,408712,Law & Order SVU
483,house,2018-08-09T01:45Z,2018-08-09T02:40Z,258934,House
483,dragao_vermelho,2018-08-09T02:40Z,2018-08-09T05:10Z,68575,Dragão Vermelho
483,law_order_svu,2018-08-09T05:10Z,2018-08-09T06:05Z,408712,Law & Order SVU
483,house,2018-08-09T06:05Z,2018-08-09T07:00Z,258934,House
483,infomercial,2018-08-09T07:00Z,2018-08-09T08:00Z,373082,Infomercial
483,cinelab,2018-08-09T08:00Z,2018-08-09T08:30Z,446072,Cinelab
483,it_takes_a_killer,2018-08-09T08:30Z,2018-08-09T09:00Z,626787,It Takes A Killer
483,elementary,2018-08-09T09:00Z,2018-08-09T09:50Z,606379,Elementary
483,elementary,2018-08-09T09:50Z,2018-08-09T10:45Z,606380,Elementary
483,elementary,2018-08-09T10:45Z,2018-08-09T11:40Z,606381,Elementary
483,house,2018-08-09T11:40Z,2018-08-09T12:35Z,265259,House
483,chicago_pd,2018-08-09T12:35Z,2018-08-09T13:30Z,543116,Chicago P.D.
483,it_takes_a_killer,2018-08-09T13:30Z,2018-08-09T14:00Z,626787,It Takes A Killer
483,o_homem_com_punhos_de_ferro_2,2018-08-09T14:00Z,2018-08-09T15:35Z,498340,O Homem com Punhos de Ferro 2
483,chicago_pd,2018-08-09T15:35Z,2018-08-09T16:30Z,467325,Chicago P.D.
483,chicago_pd,2018-08-09T16:30Z,2018-08-09T17:25Z,474202,Chicago P.D.
483,chicago_pd,2018-08-09T17:25Z,2018-08-09T18:20Z,474204,Chicago P.D.
483,conselho_tutelar,2018-08-09T18:20Z,2018-08-09T19:20Z,663452,Conselho Tutelar
483,law_order_svu,2018-08-09T19:20Z,2018-08-09T20:15Z,167210,Law & Order SVU
483,law_order_svu,2018-08-09T20:15Z,2018-08-09T21:10Z,167211,Law & Order SVU
483,law_order_svu,2018-08-09T21:10Z,2018-08-09T22:05Z,160875,Law & Order SVU
483,macgyver,2018-08-09T22:05Z,2018-08-09T23:00Z,663465,Macgyver
